,Surname,Caste/Community/Ethnicity,Clan/Sub-caste/Gotra
569,Samahang,Limbu,
570,Samal,Thakuri,
571,Samant,Khas-Chhetri,
572,Sampange,Rai,
573,Sangraula/Sangroula,Bahun,(Purbiya)
574,Sanjel,Khas-Chhetri,
575,Sapkota,Bahun,Kaudinya (Purbiya)
576,Sapu,Newar,Jyapu
577,Sarbhang/Sarbariya,Tarai-Hindu,
578,Sardar,Tharu,
579,Sarki,Dalit,Mijar
580,Saru,Magar,Thapa
581,Satihangma,Limbu,
582,Satyal,Bahun,Kaudinya (Purbiya)
583,Sawad/Saund/Saud,Khas-Chhetri,
584,Sayyid,Muslim,
585,Sedhai/Sedhain,Bahun,Angiras (Kumai)
586,Sen,Thakuri,
587,Shah,Thakuri,
588,Shahi,Thakuri,
589,Shahi,Newar-Dalit,Naye
590,Shakya,Newar-Buddhist,Bare
591,Shamden,Tamang,
592,Shamsher/Shumsher,Khas-Chhetri,
593,Sharma,Bahun,Upadhyaya
594,Sharma,Newar-Brahman,Rajopadhyaya Devabhaju Brahman
595,Sharma,Tarai-Brahman,
596,Shelle,Limbu,
597,Sherchan,Thakali,
598,Sherpa,Sherpa,
599,Sherwa,Jirel,
600,Shewan,Limbu,
601,Shigu,Limbu,
602,Shingden,Tamang,
603,Shrestha,Newar-Kshatriya,Chathariya Shrestha/Sheshya
604,Shrestha,Newar,Pachthariya Shrestha/Sheshya
605,Shrivastava,Tarai-Hindu,Kayastha
606,Shukla,Bahun,
607,Shyangbo,Tamang,
608,Sidari,Magar,
609,Sigdel,Bahun,Atreya (Purbiya)
610,Sijapati,Khas-Chhetri,
611,Sikami,Newar Uray/Udhas,
612,Silwal,Khas-Chhetri,
613,Simkhara,Bahun,Bharadwaj (Kumai)
614,Singh,Newar,Jyapu
615,Singh,Newar-Kshatriya,Shrestha/Sheshya
616,Singh,Thakuri,
617,Singh,Tharu,
618,Singthebe,Limbu,
619,Sinjali,Khas-Chhetri,
620,Sinjali,Magar,Thapa
621,Sinjapati,Magar,Thapa
622,Sinkhada,Bahun,Mandabya (Purbiya)
623,Sitaula,Bahun,
624,Siwakoti,Bahun,Bharadwaj (Kumai)
625,Solriya,Tharu,
626,Sotange,Rai,
627,Soti,Bahun,(Purbiya)
628,Subba,Limbu,
629,Subedi,Bahun,
630,Suchikar,Dalit,Pariyar
631,Sudhi,Tarai-Hindu,
632,Sunaha,Tharu,
633,Sunar,Dalit,Bishwokarma
634,Suryabansi,Magar,Ale
635,Suwal,Newar,Jyapu
636,Suyal,Bahun,
637,Swangsabu,Limbu,
638,Swansabu,Limbu,
639,Syangtang,Tamang,
640,Tabdar,Tharu,
641,Talchabhadel,Newar-Kshatriya,Shrestha/Sheshya
642,Tamaden,Limbu,
643,Tamang,Tamang,
644,Tamata,Dalit,Bishwokarma
645,Tamchhange,Rai,
646,Tamrakar,Newar,Uray/Udhas
647,Tamu,Gurung,
648,Tandukar,Newar,Jyapu/Khusa
649,Tanglami,Magar,Thapa
650,Tanti,Tarai-Dalit,Tatma
651,Tarali,Magar,
652,Tatma/Tatwa,Tarai-Dalit,Tatma
653,Teli,Muslim,
654,Teli,Tarai-Hindu,
655,Tepe,Newar-Dalit,Tepe
656,Thaiba,Newar-Kshatriya,Shrestha/Sheshya
657,Thakur/Thakul,Newar-Kshatriya,Shrestha/Sheshya
658,Thakur,Tarai-Brahman,
659,Thakurai,Muslim,
660,Thakurathi,Khas-Chhetri,
661,Thakuri,Thakuri,
662,Thamsuhang,Limbu,
663,Thandar,Tharu,
664,Thapa,Khas-Chhetri,
665,Thapa,Magar,
666,Thapalia/Thapaliya,Bahun,Bharadwaj (Kumai)
667,Thatal,Bahun,
668,Thavo,Jirel,
669,Thebe,Limbu,
670,Thing,Tamang,
671,Thokur,Tamang,
672,Thulung,Rai,
673,Thulunge,Rai,
674,Thumsing,Magar,
675,Thuppoko,Limbu,
676,Timila,Newar-Kshatriya,Shrestha/Sheshya
677,Timilsina/Timalsina,Bahun,Mandabya (Purbiya)
678,Tirkey,Magar,"Gharti, Pun"
679,Titung,Tamang,
680,Tiwari,Bahun,"Kaushik Purbiya, (Kumai)"
681,Torchaki,Magar,Ale
682,Tripathi,Bahun,(Kumai)
683,Tripathi,Tarai-Brahman,
684,Tulachan,Thakali,
685,Tuladhar,Newar-Buddhist,Uray/Udhas
686,Tumbahamphe,Limbu,
687,Tumyangpa,Limbu,
688,Tupa,Tamang,
689,Ujjain,Tarai-Hindu,Rajput
690,Upadhyaya/Upadhyay,Bahun,"(Purbiya), (Kumai)"
691,Upadhyaya,Tarai-Brahman,
692,Upreti/Uprety,Bahun,Maudgalya (Kumai)
693,Vaidya/Baidya,Newar-Kshatriya,Shrestha/Sheshya
694,Vaish,Tarai-Hindu,Rajput
695,Vajracharya,Newar-Buddhist,Gubhaju
696,Wagle,Bahun,Bharadwaj (Purbiya)
697,Waiba,Tamang,
698,Woli,Khas-Chhetri,
699,Yadav,Tarai-Hindu,
700,Yamphu,Rai,
701,Yongya,Limbu,
702,Yonjan,Tamang,
703,Yorka,Tamang,
704,Zimba,Tamang,
