Name,Gender
Biral/Viral,1
Birat,1
Birbal,1
Birendra,1
Biresh,1
Bisaj,1
Bishal,1
Bishnu,1
Bishow,1
Bishrut,1
Bishwa,1
 Bishwo,1
Bishwambhar,1
Bishwas,1
Bishweshwar,1
Biswa/Bishwa,1
Biswajit,1
Biswas,1
Bodhan,1
Boy,1
Brajesh,1
Bramha,1
Bratindra,1
Brihav,1
Brijesh,1
Brijmohan,1
Briyan,1
Buddha,1
Buddhi,1
Byas/Vyas,1
Chaitanya,1
Chaitya,1
Chakor,1
Chakra,1
Chakrapani,1
Chakshu,1
Chaman,1
Champak,1
Chanakya,1
Chanchal,1
Chandan,1
Chandra,1
Chandrachur,1
Chandrahas,1
Chandrak,1
Chandrashekhar,1
Chandresh,1
Chapal,1
Charan,1
Charanjit/Charanjeet,1
Chatura,1
CHAWO,1
Chetan,1
Chhandak,1
Chhatra magar,1
Chidambar,1
Chidananda,1
Chinmaya,1
Chintak,1
Chintamani,1
Chintan,1
Chirag,1
Chiranjeev/Chiranjibi,1
Chirantan,1
Chirayu,1
Chitta,1
Chittaprasad,1
Chittaranjan,1
Chittesh,1
Chudamani,1
Darma,1
Darsang,1
Darsh,1
Deepak,1
DELHI,1
Deveshwar,1
Devrat,1
Dhairya,1
Dhan,1
Dhana lama,1
Dhana/Dhan,1
Dhananjay,1
Dhandhoj,1
Dhanesh,1
Dhangadhi,1
Dhangadhi nepal,1
Dhanlal lama,1
Dharanidhar,1
Dharma,1
Dharmapal,1
Dharmaraj,1
Dharmendra,1
Dharmendu,1
Dharmesh,1
Dharuna,1
Dhatri,1
Dhawal,1
Dheeman,1
Dheemant,1
Dheerendra/Dhirendra,1
Dhimant,1
Dhir/Dheer,1
Dhiraj,1
Dhiren,1
Dhrishya,1
Dhritiman,1
Dhruba,1
Dhurba,1
Dhyan,1
Dhyanesh,1
Dhyaneshwar,1
Dibya/Divya,1
Digambar,1
Dilawar,1
Dilip kunwat,1
Dilip,1
 Dileep,1
Dilli,1
Dinakar,1
Dinendra,1
Dinesh,1
Dinkar,1
Dipen,1
Dipendra,1
Dipendu,1
Dipersan,1
Dipesh,1
Dipesh / Deepesh,1
Dipson,1
Diptanshu,1
Divendu,1
 Divyendu,1
 Dibyendu,1
Divyesh,1
Diwakar/Divakar,1
Diwash,1
Dorji,1
DOTI DIPAYEL,1
Durgesh,1
Durjaya,1
Dushyanta,1
Dwaipayan,1
Dwarika,1
Dwijendra/Dwijaraj,1
Dwijesh,1
Ekachakra,1
Ekagrah,1
Ekalavya,1
Ekambar,1
Ekanath,1
Ekansh,1
Ekaraj,1
Ekavir,1
Eknath,1
Ekraj,1
Ekson,1
Facebook,1
Fanindra/Phanindra,1
Fanish/Phanish,1
Fanishwar/Phanishwar,1
Fateh/Fatte,1
Firoj,1
Ganaraj,1
Gandharva,1
Gandhi,1
Gandhik,1
Ganesh,1
Gangadhar,1
Gangadutt,1
Gangesh,1
Garud,1
Gaurang,1
Gaurav,1
Gautam,1
Geet,1
Ghanashyam,1
Gharchung,1
Giri,1
Giridhar,1
Girija,1
Girindra,1
Giriraj,1
Girish,1
God of death,1
Gokul,1
Goma,1
Gopal,1
Gopan,1
Gopesh,1
Gopi,1
Gorakh,1
Goral,1
Gourishankar,1
Govinda,1
Grishma,1
Guddu,1
Gulzarilal,1
Guna,1
Gunaratna,1
Guru,1
Gurudas,1
Gurudutt,1
Gyan,1
Gyaneshwar,1
Gyani,1
Gyanu,1
 Gyani,1
Hakku,1
Hans,1
Hanuman,1
Hardik,1
Harendra,1
Haresh,1
Hari,1
Harigopal,1
Harihar,1
Harinarayan,1
Harindra,1
Harischandra,1
Harish,1
Harishankar,1
Harishchandra,1
Harka,1
Harmendra,1
Harmesh,1
Harsha,1
Harshad,1
Harshil,1
Harshit,1
Hasan,1
Hasit,1
Hem subedi,1
Hemachandra,1
Hemanga,1
Hemant,1
Hemendra,1
Hemendu,1
Hemish,1
Heramba,1
Hghgh,1
Himachal,1
Himadri,1
Himaghna,1
Himal,1
Himanshu,1
Himmat,1
Hira,1
Hira/Heera,1
Hiranmay,1
Hiranya,1
Hirendra,1
Hiresh,1
Hiten,1
Hitendra,1
Hitesh,1
Hridaya,1
Hridayesh,1
Hrishikesh/Rishikesh,1
Ilesh,1
Iman,1
Indivar,1
Indra,1
Indra Jit,1
Indrajeet/Indrajit,1
Indraneel,1
Indubhushan,1
Indushekhar,1
Iric,1
Ishan,1
Ishat,1
Ishayu,1
Ishorya,1
Ishwar,1
Ismriti,1
Jag,1
Jagadeep,1
Jagadish/Jagdish,1
Jagajeet,1
Jagan,1
Jagannath,1
Jagat,1
Jalendu,1
Janak,1
Janardan,1
Janu,1
Japa,1
Japendra,1
Jas,1
Jaswant,1
Jatan,1
Jatin,1
Jawahar,1
Jayadev,1
Jayaman,1
Jayant/Jayanta,1
Jayash,1
Jayesh,1
Jeet bahadur taramu magar,1
Jeevan,1
Jewish,1
Jibika,1
Jishnu,1
Jitendra/Jiten,1
Jiwan,1
Jiwan/Jivan,1
Jiyash,1
Joyson,1
Juanitar,1
Jyotindra,1
Kabir,1
Kailash,1
Kalash,1
Kalidas,1
Kalu,1
Kalyan,1
Kamadev,1
Kamalesh,1
Kamlesh,1
Kanak,1
Kanan,1
Kanhaiya,1
Kapil,1
Karna,1
Kartik,1
Kartikeya,1
Karunakar,1
Kashi,1
Kashyap,1
Kathmandu,1
Kaushal,1
Kaushik,1
Kavi/Kabi,1
Kavin,1
Kedar,1
Kesar,1
Keshab/Keshav,1
Ketak,1
Ketan,1
Kevin,1
Kewal,1
Khagendra,1
Kharka,1
Khem,1
Kirshal,1
Kirtan,1
Kishor/Kishore,1
Kripal,1
Krishab,1
Krishna,1
Kuber,1
Kul,1
Kuldeep,1
Kumar,1
Kunal,1
Kundan,1
Kush/Kusha,1
Labh,1
Lachee,1
Lagan,1
Lahar,1
Lakshman,1
Lalit,1
Lav/Lava,1
Laxman,1
Layak,1
Lekh,1
Lelish,1
Lightro,1
Lila,1
Lila/Leela,1
Lochan,1
Loken,1
Lokendra,1
Lokesh,1
Loknath,1
Madan,1
Madhav,1
Madhukar,1
Madhup,1
Madhur,1
Madhuri,1
Madhusudan,1
Magan,1
Mahadev,1
Mahant,1
Mahavir,1
Mahendra,1
Mahesh,1
Maheshwar,1
Mahip,1
Mainuddin,1
Maitreya,1
Manas,1
Manav,1
Manavendra,1
Mandar,1
Manendra,1
Mangal,1
Mangesh,1
Mani,1
Manik,1
Manil,1
Manindra,1
Manish,1
Manishankar,1
Manit,1
Manjeet,1
Manjul,1
Manmohan,1
Manohar,1
Manohar singh,1
Manoj,1
Manoranjan,1
Manu,1
Mathura,1
Matsendra,1
Maulik,1
Mavyn,1
Mayur,1
Meen,1
Meet,1
Megh,1
Messi,1
Mihir,1
Milan,1
Milap,1
Milind,1
Millon gurung,1
Mimanshu,1
Miren,1
Mitesh,1
Mithila,1
Mithilesh,1
Mithun,1
Mitra,1
Mitul,1
Mohak,1
Mohan,1
Mohit,1
Mohnish,1
Moni,1
Moon,1
Mountain,1
Mountain lake,1
Mridul,1
Mrigendra,1
